Player_Name,Number,Category,Rank,Conference,Institution,State,Division,Position,Photo
Gina Rivera Ortiz,4.70,digs/set,4,Ohio Valley Conference,Tennessee State University,Tennessee,NCAA DI,DS / L,Tennessee State Athletics
Ashley Román,4.18,digs/set,4,Mid-Eastern Athletic Conference,Coppin State University,Maryland,NCAA DI,DS / L,Troy Queen
Alejandra Rodríguez,4.73,digs/set,4,Metro Atlantic Athletic Conference,Quinnipiac University,Connecticut,NCAA DI,DS / L,John Hassett
Alondra Vázquez,3.27,digs/set,6,Missouri Valley Conference,University of Evansville,Indiana,NCAA DI,OH / RSH,University of Evansville
Nashally Eleutiza,4.37,digs/set,6,Metro Atlantic Athletic Conference,Manhattan College,New York,NCAA DI,DS / L,Manhattan College Athletics
Jasmal Cruz,3.64,digs/set,7,Mid-Eastern Athletic Conference,Delaware State University,Delaware,NCAA DI,DS / L,Delaware State University Athletics
Laura Rojas,4.55,digs/set,8,Missouri Valley Conference,Southern Illinois University,Illinois,NCAA DI,DS / L,Southern Illinois University Athletics
Neyshlian Román Concepción,5.21,digs/set,2,Central Atlantic Collegiate Conference,Goldey-Beacom College,Delaware,NCAA DII,DS / L,Goldey-Beacom Athletics
Junelly Marrero,4.97,digs/set,5,Central Atlantic Collegiate Conference,Bloomfield College,New Jersey,NCAA DII,DS / L,Bloomfield College Athletics
Kianna Lozada,5.26,digs/set,1,New England Collegiate Conference,Elms College,Massachusetts,NCAA DIII,DS / L,Elms College Athletics
Ivanella Figueroa,4.36,digs/set,3,Colonial States Athletic Conference,Notre Dame of Maryland University,Maryland,NCAA DIII,DS / L,Notre Dame Of Maryland University
María Pérez,3.95,digs/set,3,North Atlantic Conference,Maine Maritime Academy,Maine,NCAA DIII,DS / L,Maine Maritime Academy Athletics
Tatiana López,4.24,digs/set,6,Centennial Conference,Dickinson College,Pennsylvania,NCAA DIII,DS / L,Matt O'Haren
Carolina Robles,4.05,digs/set,8,USA South Athletic Conference,Berea College,Kentucky,NCAA DIII,OH / RSH,Berea College Athletics
Natalia Rabassa,3.90,digs/set,8,Great Northeast Athletic Conference,University of Saint Joseph's,Connecticut,NCAA DIII,DS / L,Steve McLaughlin
